# v_mps,ax_max_mps2,ay_max_mps2
#
# CHANGING ay_max OR ax_max HERE DOES NOT RAISE THE CAR'S SPEED ON ITS OWN. THE RACELINE MUST BE
# REGENERATED. The velocity profile the car actually follows is vx_mps inside
# stack_master/maps/<map>/global_waypoints.json, and that is an OFFLINE product of the global
# optimizer: closed_reopt_bridge publishes those values through unchanged (:126 seeds vx from
# clean_vx, :159 restores it wherever the geometry has rejoined the raceline), and this table is
# consulted only to cap it FURTHER (_cap_speed_to_published_curvature). So the online path can
# lower vx and can never raise it, and a bigger number here buys nothing until the raceline is
# rebuilt from it. Restarting the stack is not enough.
#
# Raising it is also not free downstream: ay_max is the lateral budget the reactive planner's
# curvature-limited cap divides by, so it changes avoidance speeds as well as raceline speeds.
0.0, 5.0,8.0
4.0, 5.0,8.0
8.0, 5.0,8.0
12.0,5.0,8.0
16.0,5.0,8.0
20.0,5.0,8.0
24.0,5.0,8.0
28.0,5.0,8.0
32.0,5.0,8.0
36.0,5.0,8.0
40.0,5.0,8.0
44.0,5.0,8.0
48.0,5.0,8.0
52.0,5.0,8.0
56.0,5.0,8.0
60.0,5.0,8.0
66.0,5.0,8.0
72.0,5.0,8.0
