# v_mps,ax_max_mps2,ay_max_mps2
#
# CHANGING ay_max OR ax_max HERE DOES NOT RAISE THE CAR'S SPEED ON ITS OWN. THE RACELINE MUST BE
# REGENERATED. The velocity profile the car actually follows is vx_mps inside
# stack_master/maps/<map>/global_waypoints.json, and that is an OFFLINE product of the global
# optimizer: closed_reopt_bridge publishes those values through unchanged (:126 seeds vx from
# clean_vx, :159 restores it wherever the geometry has rejoined the raceline), and this table is
# consulted only to cap it FURTHER (_cap_speed_to_published_curvature). So the online path can
# lower vx and can never raise it, and a bigger number here buys nothing until the raceline is
# rebuilt from it. Restarting the stack is not enough.
#
# Raising it is also not free downstream: ay_max is the lateral budget the reactive planner's
# curvature-limited cap divides by, so it changes avoidance speeds as well as raceline speeds.
#
# WHATEVER REGENERATES THIS FILE STRIPS THIS HEADER. It was lost once already (restored
# 2026-08-11 alongside the ax 5.0->7.0 / ay ->5.7 change); if you rewrite the CSV with a script,
# put it back.
#
# CAR AND SIM CARRY THE SAME ay_max TODAY (5.7 both, since 2026-08-11). They used to diverge on
# purpose -- 4.5 vs 8.0, on the grounds that the two surfaces differ -- so anything that divides by
# ay_max did not transfer between them. With one number it does transfer, which is what makes sim
# predictive of the car; that is a property to keep on purpose, not to rediscover. Check which
# config you are reading before quoting a value from this file.
0.0, 7.0,5.7
4.0, 7.0,5.7
8.0, 7.0,5.7
12.0,7.0,5.7
16.0,7.0,5.7
20.0,7.0,5.7
24.0,7.0,5.7
28.0,7.0,5.7
32.0,7.0,5.7
36.0,7.0,5.7
40.0,7.0,5.7
44.0,7.0,5.7
48.0,7.0,5.7
52.0,7.0,5.7
56.0,7.0,5.7
60.0,7.0,5.7
66.0,7.0,5.7
72.0,7.0,5.7
